Código IBGE;Código Sefaz-SP;Município
3551009;6579;São Vicente
3551108;6580;Sarapuí
3551207;6592;Sarutaiá
3551306;6609;Sebastianópolis do Sul
3551405;6610;Serra Azul
3551504;6634;Serrana
3551603;6622;Serra Negra
3551702;6646;Sertãozinho
3551801;6658;Sete Barras
3551900;6660;Severínia
3552007;6671;Silveiras
3552106;6683;Socorro
3552205;6695;Sorocaba
3552304;6701;Sud Mennucci
3552403;6713;Sumaré
3552502;6725;Suzano
3552551;7626;Suzanápolis
3552601;6737;Tabapuã
3552700;6749;Tabatinga
3552809;6750;Taboão Da Serra
3552908;6762;Taciba
3553005;6774;Taguaí
3553104;6786;Taiaçu
3553203;6798;Taiúva
3553302;6804;Tambaú
3553401;6816;Tanabi
3553500;6828;Tapiraí
3553609;6830;Tapiratiba
3553658;7857;Taquaral
3553708;6841;Taquaritinga
3553807;6853;Taquarituba
3553856;7638;Taquarivaí
3553906;6865;Tarabai
3553955;7316;Tarumã
3554003;6877;Tatuí
3554102;6889;Taubaté
3554201;6890;Tejupá
3554300;6907;Teodoro Sampaio
3554409;6919;Terra Roxa
3554508;6920;Tietê
3554607;6932;Timburi
3554656;7730;Torre de Pedra
3554706;6944;Torrinha
3554755;7948;Trabiju
3554805;6956;Tremembé
3554904;6968;Três Fronteiras
3554953;7640;Tuiuti
3555000;6970;Tupã
3555109;6981;Tupi Paulista
3555208;6993;Turiúba
3555307;7006;Turmalina
3555356;7651;Ubarana
3555406;7018;Ubatuba
3555505;7020;Ubirajara
3555604;7031;Uchoa
3555703;7043;União Paulista
3555802;7055;Urânia
3555901;7067;Uru
3556008;7079;Urupês
3556107;7092;Valentim Gentil
3556206;7080;Valinhos
3556305;7109;Valparaíso
3556354;7663;Vargem
3556404;7110;Vargem Grande do Sul
3556453;7201;Vargem Grande Paulista
3556503;7122;Várzea Paulista
3556602;7134;Vera Cruz
3556701;7146;Vinhedo
3556800;7158;Viradouro
3556909;7160;Vista Alegre do Alto
3556958;7833;Vitória Brasil
3557006;7171;Votorantim
3557105;7183;Votuporanga
3557154;7742;Zacarias
3557204;7195;Chavantes
3557303;7468;Estiva Gerbi
